id,474
photo,40559.jpg
web_name,Fabri
team_code,54
status,a
code,40559
first_name,Fabricio
second_name,Agosto Ramírez
squad_number,31
news,
now_cost,43
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.0
value_season,1.9
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,0.0
transfers_out,23073
transfers_in,16509
transfers_out_event,14
transfers_in_event,6
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,8
event_points,0
points_per_game,4.0
ep_this,-1.0
ep_next,-0.5
special,False
minutes,180
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,5
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,15
bonus,2
bps,47
influence,115.2
creativity,0.0
threat,0.0
ict_index,11.5
ea_index,0
element_type,1
team,9
