id,280
photo,37572.jpg
web_name,Agüero
team_code,43
status,a
code,37572
first_name,Sergio
second_name,Agüero
squad_number,10
news,
now_cost,118
news_added,2019-01-09T22:31:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.8
value_season,13.6
cost_change_start,8
cost_change_event,0
cost_change_start_fall,-8
cost_change_event_fall,0
in_dreamteam,True
dreamteam_count,4
selected_by_percent,39.7
form,9.4
transfers_out,3684465
transfers_in,4121138
transfers_out_event,3224
transfers_in_event,12843
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,160
event_points,2
points_per_game,6.4
ep_this,10.4
ep_next,10.4
special,False
minutes,1837
goals_scored,18
assists,8
clean_sheets,12
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,21
bps,602
influence,790.2
creativity,386.5
threat,1284.0
ict_index,246.0
ea_index,0
element_type,4
team,13
