id,31
photo,126184.jpg
web_name,Aké
team_code,91
status,a
code,126184
first_name,Nathan
second_name,Aké
squad_number,5
news,
now_cost,50
news_added,2018-12-30T19:01:16Z
chance_of_playing_this_round,75
chance_of_playing_next_round,75
value_form,0.2
value_season,17.2
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,5.0
form,1.2
transfers_out,301852
transfers_in,335396
transfers_out_event,626
transfers_in_event,1784
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,86
event_points,2
points_per_game,3.0
ep_this,0.1
ep_next,1.3
special,False
minutes,2601
goals_scored,3
assists,0
clean_sheets,7
goals_conceded,54
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,6
bps,517
influence,752.8
creativity,41.7
threat,315.0
ict_index,111.0
ea_index,0
element_type,2
team,2
