id,353
photo,55605.jpg
web_name,Alderweireld
team_code,6
status,a
code,55605
first_name,Toby
second_name,Alderweireld
squad_number,4
news,
now_cost,60
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.4
value_season,14.8
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,3.8
form,2.2
transfers_out,229540
transfers_in,239676
transfers_out_event,622
transfers_in_event,189
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,89
event_points,2
points_per_game,3.3
ep_this,2.7
ep_next,3.7
special,False
minutes,2349
goals_scored,0
assists,0
clean_sheets,10
goals_conceded,25
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,5
bps,531
influence,562.0
creativity,90.5
threat,181.0
ict_index,83.2
ea_index,0
element_type,2
team,17
