id,245
photo,169187.jpg
web_name,Alexander-Arnold
team_code,14
status,a
code,169187
first_name,Trent
second_name,Alexander-Arnold
squad_number,66
news,
now_cost,54
news_added,2019-01-15T13:01:18Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.7
value_season,20.7
cost_change_start,4
cost_change_event,0
cost_change_start_fall,-4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,5
selected_by_percent,17.7
form,3.8
transfers_out,2309990
transfers_in,2421322
transfers_out_event,527
transfers_in_event,12799
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,112
event_points,0
points_per_game,5.9
ep_this,4.8
ep_next,4.8
special,False
minutes,1605
goals_scored,1
assists,6
clean_sheets,11
goals_conceded,8
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,11
bps,456
influence,431.6
creativity,459.9
threat,188.0
ict_index,107.8
ea_index,0
element_type,2
team,12
