id,365
photo,108823.jpg
web_name,Alli
team_code,6
status,i
code,108823
first_name,Bamidele
second_name,Alli
squad_number,20
news,Hamstring injury - Expected back 09 Mar
now_cost,88
news_added,2019-01-20T18:01:18Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,8.3
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,2.3
form,0.0
transfers_out,631747
transfers_in,468472
transfers_out_event,131
transfers_in_event,21
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,73
event_points,0
points_per_game,4.3
ep_this,0.0
ep_next,0.0
special,False
minutes,1193
goals_scored,5
assists,2
clean_sheets,6
goals_conceded,14
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,8
bps,257
influence,362.0
creativity,254.3
threat,503.0
ict_index,112.0
ea_index,0
element_type,3
team,17
