id,587
photo,179018.jpg
web_name,Almirón
team_code,4
status,a
code,179018
first_name,Miguel
second_name,Almirón
squad_number,24
news,
now_cost,60
news_added,2019-02-01T16:01:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,1.5
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.2
form,1.8
transfers_out,7543
transfers_in,79559
transfers_out_event,385
transfers_in_event,626
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,9
event_points,2
points_per_game,2.3
ep_this,1.8
ep_next,1.8
special,False
minutes,267
goals_scored,0
assists,0
clean_sheets,2
goals_conceded,3
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,31
influence,49.6
creativity,121.4
threat,77.0
ict_index,24.8
ea_index,0
element_type,3
team,15
