id,226
photo,155569.jpg
web_name,Amartey
team_code,13
status,i
code,155569
first_name,Daniel
second_name,Amartey
squad_number,18
news,Leg injury - Unknown return date
now_cost,43
news_added,2018-10-27T19:01:14Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,3.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,0.0
transfers_out,20415
transfers_in,11325
transfers_out_event,14
transfers_in_event,3
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,15
event_points,0
points_per_game,1.7
ep_this,0.0
ep_next,0.0
special,False
minutes,639
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,9
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,103
influence,139.0
creativity,46.7
threat,21.0
ict_index,20.8
ea_index,0
element_type,3
team,11
