id,507
photo,100649.jpg
web_name,Bernard
team_code,11
status,a
code,100649
first_name,Bernard
second_name,Anício Caldeira Duarte
squad_number,20
news,
now_cost,59
news_added,2018-08-30T09:01:12Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,9.3
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,0.8
transfers_out,57198
transfers_in,43868
transfers_out_event,41
transfers_in_event,21
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,55
event_points,0
points_per_game,2.3
ep_this,-0.2
ep_next,0.8
special,False
minutes,1291
goals_scored,0
assists,4
clean_sheets,6
goals_conceded,14
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,4
bps,195
influence,226.8
creativity,403.5
threat,162.0
ict_index,79.2
ea_index,0
element_type,3
team,8
