id,345
photo,91047.jpg
web_name,Armstrong
team_code,20
status,a
code,91047
first_name,Stuart
second_name,Armstrong
squad_number,17
news,
now_cost,51
news_added,2019-02-09T17:01:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,10.4
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.3
form,1.6
transfers_out,78947
transfers_in,76894
transfers_out_event,69
transfers_in_event,13
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,53
event_points,4
points_per_game,2.4
ep_this,0.6
ep_next,0.1
special,False
minutes,1136
goals_scored,3
assists,1
clean_sheets,3
goals_conceded,22
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,2
bps,190
influence,237.4
creativity,300.0
threat,319.0
ict_index,85.5
ea_index,0
element_type,3
team,16
