id,417
photo,41464.jpg
web_name,Arnautovic
team_code,21
status,a
code,41464
first_name,Marko
second_name,Arnautovic
squad_number,7
news,
now_cost,68
news_added,2019-02-27T22:01:22Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,12.4
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,6.9
form,1.2
transfers_out,2514465
transfers_in,1806624
transfers_out_event,1131
transfers_in_event,1696
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,84
event_points,1
points_per_game,4.2
ep_this,1.2
ep_next,1.7
special,False
minutes,1384
goals_scored,7
assists,4
clean_sheets,2
goals_conceded,24
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,12
bps,298
influence,399.0
creativity,359.3
threat,660.0
ict_index,141.2
ea_index,0
element_type,4
team,19
