id,498
photo,109745.jpg
web_name,Kepa
team_code,8
status,a
code,109745
first_name,Kepa
second_name,Arrizabalaga
squad_number,1
news,
now_cost,54
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.3
value_season,18.2
cost_change_start,-1
cost_change_event,-1
cost_change_start_fall,1
cost_change_event_fall,1
in_dreamteam,False
dreamteam_count,1
selected_by_percent,4.4
form,1.5
transfers_out,431093
transfers_in,442635
transfers_out_event,918
transfers_in_event,109
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,100
event_points,0
points_per_game,3.8
ep_this,2.5
ep_next,2.0
special,False
minutes,2340
goals_scored,0
assists,0
clean_sheets,11
goals_conceded,29
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,55
bonus,4
bps,493
influence,447.4
creativity,0.1
threat,0.0
ict_index,44.5
ea_index,0
element_type,1
team,6
