id,33
photo,48615.jpg
web_name,Arter
team_code,97
status,a
code,48615
first_name,Harry
second_name,Arter
squad_number,7
news,
now_cost,49
news_added,2019-01-30T15:31:18Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,8.2
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,0.8
transfers_out,13171
transfers_in,3942
transfers_out_event,7
transfers_in_event,7
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,40
event_points,0
points_per_game,1.8
ep_this,0.3
ep_next,0.3
special,False
minutes,1757
goals_scored,0
assists,0
clean_sheets,5
goals_conceded,38
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,0
saves,0
bonus,0
bps,194
influence,179.6
creativity,149.6
threat,142.0
ict_index,47.2
ea_index,0
element_type,3
team,5
