id,23
photo,54694.jpg
web_name,Aubameyang
team_code,3
status,a
code,54694
first_name,Pierre-Emerick
second_name,Aubameyang
squad_number,14
news,
now_cost,109
news_added,2019-02-07T14:31:19Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,14.4
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,True
dreamteam_count,4
selected_by_percent,21.7
form,1.8
transfers_out,3172743
transfers_in,3331407
transfers_out_event,24595
transfers_in_event,870
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,157
event_points,-1
points_per_game,5.6
ep_this,1.3
ep_next,1.8
special,False
minutes,2119
goals_scored,16
assists,6
clean_sheets,5
goals_conceded,34
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,0
red_cards,0
saves,0
bonus,25
bps,563
influence,732.8
creativity,370.4
threat,1086.0
ict_index,218.8
ea_index,0
element_type,4
team,1
