id,360
photo,80226.jpg
web_name,Aurier
team_code,6
status,a
code,80226
first_name,Serge
second_name,Aurier
squad_number,24
news,
now_cost,58
news_added,2018-12-08T23:01:18Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,4.1
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.5
form,0.2
transfers_out,50490
transfers_in,17815
transfers_out_event,18
transfers_in_event,2
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,24
event_points,0
points_per_game,3.0
ep_this,0.7
ep_next,1.7
special,False
minutes,562
goals_scored,0
assists,2
clean_sheets,2
goals_conceded,9
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,116
influence,151.6
creativity,108.4
threat,45.0
ict_index,30.5
ea_index,0
element_type,2
team,17
