id,505
photo,80146.jpg
web_name,Ayew
team_code,31
status,a
code,80146
first_name,Jordan
second_name,Ayew
squad_number,14
news,
now_cost,57
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.2
value_season,7.0
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,1.0
transfers_out,38557
transfers_in,21121
transfers_out_event,50
transfers_in_event,28
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,40
event_points,0
points_per_game,2.2
ep_this,0.5
ep_next,1.0
special,False
minutes,1087
goals_scored,1
assists,2
clean_sheets,5
goals_conceded,12
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,2
bps,98
influence,130.8
creativity,169.5
threat,369.0
ict_index,66.8
ea_index,0
element_type,4
team,7
