id,208
photo,204380.jpg
web_name,Bacuna
team_code,38
status,a
code,204380
first_name,Juninho
second_name,Bacuna
squad_number,7
news,
now_cost,42
news_added,2018-09-14T15:31:13Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,4.3
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.4
form,1.8
transfers_out,23254
transfers_in,36237
transfers_out_event,145
transfers_in_event,219
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,18
event_points,2
points_per_game,1.5
ep_this,1.8
ep_next,1.3
special,False
minutes,741
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,19
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,95
influence,130.6
creativity,137.1
threat,44.0
ict_index,31.2
ea_index,0
element_type,3
team,10
