id,156
photo,12745.jpg
web_name,Baines
team_code,11
status,d
code,12745
first_name,Leighton
second_name,Baines
squad_number,3
news,Back injury - 75% chance of playing
now_cost,50
news_added,2019-03-01T16:01:19Z
chance_of_playing_this_round,75
chance_of_playing_next_round,75
value_form,0.0
value_season,1.4
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.5
form,0.2
transfers_out,85151
transfers_in,17664
transfers_out_event,26
transfers_in_event,1
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,7
event_points,0
points_per_game,1.2
ep_this,-0.6
ep_next,0.2
special,False
minutes,374
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,6
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,48
influence,48.4
creativity,91.4
threat,15.0
ict_index,15.4
ea_index,0
element_type,2
team,8
