id,54
photo,52484.jpg
web_name,Balogun
team_code,36
status,i
code,52484
first_name,Leon
second_name,Balogun
squad_number,14
news,Shoulder injury - Unknown return date
now_cost,42
news_added,2019-02-16T17:31:21Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,3.6
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.1
form,0.0
transfers_out,13396
transfers_in,9225
transfers_out_event,19
transfers_in_event,1
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,15
event_points,0
points_per_game,1.9
ep_this,0.0
ep_next,0.0
special,False
minutes,591
goals_scored,1
assists,0
clean_sheets,0
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,86
influence,134.0
creativity,1.1
threat,27.0
ict_index,16.2
ea_index,0
element_type,2
team,3
