id,91
photo,19523.jpg
web_name,Bamba
team_code,97
status,d
code,19523
first_name,Sol
second_name,Bamba
squad_number,22
news,Knock - 75% chance of playing
now_cost,47
news_added,2019-03-02T17:31:20Z
chance_of_playing_this_round,None
chance_of_playing_next_round,75
value_form,0.8
value_season,20.2
cost_change_start,2
cost_change_event,0
cost_change_start_fall,-2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,4.8
form,3.8
transfers_out,172400
transfers_in,400692
transfers_out_event,6295
transfers_in_event,534
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,95
event_points,-1
points_per_game,3.4
ep_this,3.3
ep_next,2.5
special,False
minutes,2475
goals_scored,4
assists,1
clean_sheets,7
goals_conceded,52
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,0
saves,0
bonus,11
bps,459
influence,787.0
creativity,51.4
threat,304.0
ict_index,114.2
ea_index,0
element_type,2
team,5
