id,221
photo,111931.jpg
web_name,Pereira
team_code,13
status,a
code,111931
first_name,Ricardo Domingos
second_name,Barbosa Pereira
squad_number,14
news,
now_cost,54
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.3
value_season,19.3
cost_change_start,4
cost_change_event,0
cost_change_start_fall,-4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,3
selected_by_percent,14.3
form,1.6
transfers_out,744628
transfers_in,1445206
transfers_out_event,2479
transfers_in_event,3120
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,104
event_points,0
points_per_game,4.2
ep_this,1.6
ep_next,2.1
special,False
minutes,2223
goals_scored,2
assists,6
clean_sheets,7
goals_conceded,36
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,14
bps,479
influence,662.6
creativity,384.8
threat,308.0
ict_index,135.5
ea_index,0
element_type,2
team,11
