id,75
photo,17997.jpg
web_name,Bardsley
team_code,90
status,a
code,17997
first_name,Phil
second_name,Bardsley
squad_number,26
news,
now_cost,42
news_added,2019-01-24T16:01:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,6.4
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,0.8
transfers_out,12018
transfers_in,10992
transfers_out_event,71
transfers_in_event,28
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,27
event_points,-1
points_per_game,1.7
ep_this,1.3
ep_next,-0.2
special,False
minutes,1400
goals_scored,0
assists,0
clean_sheets,3
goals_conceded,21
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,8
red_cards,0
saves,0
bonus,0
bps,185
influence,236.2
creativity,125.8
threat,65.0
ict_index,42.7
ea_index,0
element_type,2
team,4
