id,127
photo,88894.jpg
web_name,Barkley
team_code,8
status,a
code,88894
first_name,Ross
second_name,Barkley
squad_number,8
news,
now_cost,51
news_added,2018-12-02T12:01:14Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,12.7
cost_change_start,-9
cost_change_event,0
cost_change_start_fall,9
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,1.4
form,1.8
transfers_out,675802
transfers_in,704357
transfers_out_event,201
transfers_in_event,115
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,65
event_points,0
points_per_game,3.1
ep_this,2.8
ep_next,2.3
special,False
minutes,890
goals_scored,3
assists,4
clean_sheets,6
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,5
bps,229
influence,257.4
creativity,235.0
threat,326.0
ict_index,81.5
ea_index,0
element_type,3
team,6
