id,85
photo,44699.jpg
web_name,Barnes
team_code,90
status,a
code,44699
first_name,Ashley
second_name,Barnes
squad_number,10
news,
now_cost,57
news_added,2018-07-24T09:01:08Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,1.1
value_season,16.5
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,3.4
form,6.2
transfers_out,157548
transfers_in,308074
transfers_out_event,1428
transfers_in_event,2401
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,94
event_points,6
points_per_game,3.4
ep_this,6.7
ep_next,5.2
special,False
minutes,1592
goals_scored,9
assists,3
clean_sheets,5
goals_conceded,27
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,10
bps,294
influence,415.6
creativity,241.3
threat,788.0
ict_index,143.9
ea_index,0
element_type,4
team,4
