id,335
photo,171771.jpg
web_name,Bednarek
team_code,20
status,a
code,171771
first_name,Jan
second_name,Bednarek
squad_number,35
news,
now_cost,40
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.8
value_season,8.0
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,7.0
form,3.2
transfers_out,332971
transfers_in,453110
transfers_out_event,1114
transfers_in_event,858
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,32
event_points,1
points_per_game,2.0
ep_this,2.2
ep_next,1.7
special,False
minutes,1340
goals_scored,0
assists,1
clean_sheets,2
goals_conceded,21
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,2
bps,226
influence,411.4
creativity,83.3
threat,12.0
ict_index,50.9
ea_index,0
element_type,2
team,16
