id,94
photo,56981.jpg
web_name,Bennett
team_code,97
status,a
code,56981
first_name,Joe
second_name,Bennett
squad_number,3
news,
now_cost,44
news_added,2018-12-26T14:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.5
value_season,12.5
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.4
form,2.4
transfers_out,51630
transfers_in,52787
transfers_out_event,47
transfers_in_event,16
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,55
event_points,1
points_per_game,2.6
ep_this,1.9
ep_next,1.9
special,False
minutes,1858
goals_scored,0
assists,1
clean_sheets,6
goals_conceded,38
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,4
bps,306
influence,338.6
creativity,203.0
threat,45.0
ict_index,58.7
ea_index,0
element_type,2
team,5
