id,427
photo,41727.jpg
web_name,Bennett
team_code,39
status,s
code,41727
first_name,Ryan
second_name,Bennett
squad_number,5
news,Suspended until 02 Apr
now_cost,42
news_added,2019-03-02T17:31:20Z
chance_of_playing_this_round,None
chance_of_playing_next_round,0
value_form,0.5
value_season,17.1
cost_change_start,2
cost_change_event,0
cost_change_start_fall,-2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,11.5
form,2.2
transfers_out,639683
transfers_in,1006819
transfers_out_event,10737
transfers_in_event,352
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,72
event_points,5
points_per_game,2.6
ep_this,2.7
ep_next,0.0
special,False
minutes,2520
goals_scored,1
assists,0
clean_sheets,7
goals_conceded,33
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,10
red_cards,0
saves,0
bonus,1
bps,383
influence,466.8
creativity,122.5
threat,128.0
ict_index,71.8
ea_index,0
element_type,2
team,20
