id,152
photo,54861.jpg
web_name,Benteke
team_code,31
status,a
code,54861
first_name,Christian
second_name,Benteke
squad_number,17
news,
now_cost,63
news_added,2018-09-06T10:01:13Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,2.2
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.4
form,1.0
transfers_out,72625
transfers_in,23888
transfers_out_event,36
transfers_in_event,15
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,14
event_points,1
points_per_game,1.6
ep_this,0.5
ep_next,1.0
special,False
minutes,486
goals_scored,0
assists,0
clean_sheets,2
goals_conceded,8
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,9
influence,18.4
creativity,65.6
threat,249.0
ict_index,32.1
ea_index,0
element_type,4
team,7
