id,178
photo,122074.jpg
web_name,Bettinelli
team_code,54
status,i
code,122074
first_name,Marcus
second_name,Bettinelli
squad_number,1
news,Knee injury - Unknown return date
now_cost,43
news_added,2019-02-04T15:01:20Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,3.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.3
form,0.0
transfers_out,40760
transfers_in,37768
transfers_out_event,34
transfers_in_event,6
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,15
event_points,0
points_per_game,2.1
ep_this,0.0
ep_next,0.0
special,False
minutes,630
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,20
own_goals,0
penalties_saved,1
penalties_missed,0
yellow_cards,1
red_cards,0
saves,20
bonus,0
bps,114
influence,195.0
creativity,0.0
threat,0.0
ict_index,19.4
ea_index,0
element_type,1
team,9
