id,466
photo,227127.jpg
web_name,Bissouma
team_code,36
status,a
code,227127
first_name,Yves
second_name,Bissouma
squad_number,8
news,
now_cost,46
news_added,2019-01-17T14:01:18Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,6.3
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,2.0
transfers_out,3261
transfers_in,1709
transfers_out_event,1
transfers_in_event,6
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,29
event_points,3
points_per_game,1.4
ep_this,2.0
ep_next,2.0
special,False
minutes,1098
goals_scored,0
assists,0
clean_sheets,2
goals_conceded,17
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,0
bps,91
influence,136.8
creativity,124.3
threat,151.0
ict_index,41.2
ea_index,0
element_type,3
team,3
