id,25
photo,18726.jpg
web_name,Boruc
team_code,91
status,a
code,18726
first_name,Artur
second_name,Boruc
squad_number,1
news,
now_cost,40
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.6
value_season,7.0
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,8.5
form,2.4
transfers_out,198388
transfers_in,292913
transfers_out_event,289
transfers_in_event,4114
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,28
event_points,6
points_per_game,4.0
ep_this,1.4
ep_next,2.9
special,False
minutes,630
goals_scored,0
assists,0
clean_sheets,2
goals_conceded,12
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,26
bonus,4
bps,130
influence,198.0
creativity,0.0
threat,0.0
ict_index,19.9
ea_index,0
element_type,1
team,2
