id,79
photo,90517.jpg
web_name,Brady
team_code,90
status,a
code,90517
first_name,Robbie
second_name,Brady
squad_number,12
news,
now_cost,54
news_added,2019-01-28T02:31:22Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,3.0
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.8
transfers_out,2735
transfers_in,1537
transfers_out_event,1
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,16
event_points,1
points_per_game,1.2
ep_this,1.3
ep_next,-0.2
special,False
minutes,616
goals_scored,0
assists,1
clean_sheets,1
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,1
saves,0
bonus,0
bps,61
influence,89.4
creativity,174.6
threat,81.0
ict_index,34.6
ea_index,0
element_type,3
team,4
