id,510
photo,101105.jpg
web_name,Bryan
team_code,54
status,a
code,101105
first_name,Joe
second_name,Bryan
squad_number,23
news,
now_cost,48
news_added,2019-01-30T10:01:22Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,5.8
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.4
transfers_out,10249
transfers_in,3858
transfers_out_event,7
transfers_in_event,4
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,28
event_points,0
points_per_game,1.6
ep_this,-0.6
ep_next,-0.1
special,False
minutes,1444
goals_scored,0
assists,1
clean_sheets,2
goals_conceded,36
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,1
bps,234
influence,281.0
creativity,224.0
threat,105.0
ict_index,61.0
ea_index,0
element_type,2
team,9
