id,179
photo,50093.jpg
web_name,Button
team_code,36
status,a
code,50093
first_name,David
second_name,Button
squad_number,27
news,
now_cost,40
news_added,2018-11-08T15:31:14Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,3.8
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,3.2
form,0.0
transfers_out,116732
transfers_in,205076
transfers_out_event,1023
transfers_in_event,57
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,15
event_points,0
points_per_game,3.8
ep_this,0.0
ep_next,0.0
special,False
minutes,360
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,5
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,14
bonus,2
bps,76
influence,89.2
creativity,0.0
threat,0.0
ict_index,8.9
ea_index,0
element_type,1
team,3
