id,112
photo,20310.jpg
web_name,Caballero
team_code,8
status,a
code,20310
first_name,Willy
second_name,Caballero
squad_number,13
news,
now_cost,47
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.3
value_season,1.3
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,1.5
transfers_out,8524
transfers_in,6676
transfers_out_event,62
transfers_in_event,128
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,6
event_points,0
points_per_game,6.0
ep_this,2.5
ep_next,2.0
special,False
minutes,90
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,0
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,19
influence,3.6
creativity,0.0
threat,0.0
ict_index,0.4
ea_index,0
element_type,1
team,6
