id,182
photo,76357.jpg
web_name,Cairney
team_code,54
status,a
code,76357
first_name,Tom
second_name,Cairney
squad_number,10
news,
now_cost,46
news_added,2018-10-27T14:01:14Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,9.3
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.4
form,1.4
transfers_out,157026
transfers_in,25181
transfers_out_event,27
transfers_in_event,14
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,43
event_points,0
points_per_game,2.0
ep_this,0.4
ep_next,0.9
special,False
minutes,1423
goals_scored,0
assists,1
clean_sheets,3
goals_conceded,33
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,252
influence,204.8
creativity,376.9
threat,95.0
ict_index,67.8
ea_index,0
element_type,3
team,9
