id,175
photo,177815.jpg
web_name,Calvert-Lewin
team_code,11
status,a
code,177815
first_name,Dominic
second_name,Calvert-Lewin
squad_number,29
news,
now_cost,53
news_added,2018-09-11T17:01:14Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,11.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.4
form,2.2
transfers_out,231714
transfers_in,234433
transfers_out_event,365
transfers_in_event,504
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,61
event_points,0
points_per_game,2.3
ep_this,1.2
ep_next,2.2
special,False
minutes,997
goals_scored,5
assists,2
clean_sheets,1
goals_conceded,21
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,3
bps,195
influence,225.0
creativity,90.2
threat,295.0
ict_index,60.0
ea_index,0
element_type,4
team,8
