id,418
photo,40142.jpg
web_name,Carroll
team_code,21
status,a
code,40142
first_name,Andy
second_name,Carroll
squad_number,9
news,
now_cost,54
news_added,2018-07-12T19:31:08Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,2.2
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.6
transfers_out,15097
transfers_in,16837
transfers_out_event,65
transfers_in_event,39
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,12
event_points,0
points_per_game,1.0
ep_this,0.6
ep_next,1.1
special,False
minutes,454
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,7
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,10
influence,41.8
creativity,51.4
threat,169.0
ict_index,25.8
ea_index,0
element_type,4
team,19
