id,483
photo,114128.jpg
web_name,Jonny
team_code,39
status,a
code,114128
first_name,Jonathan
second_name,Castro Otto
squad_number,19
news,
now_cost,44
news_added,2018-12-15T14:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,16.4
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,3.2
form,1.6
transfers_out,277042
transfers_in,419744
transfers_out_event,2183
transfers_in_event,200
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,72
event_points,0
points_per_game,3.0
ep_this,2.1
ep_next,1.1
special,False
minutes,2069
goals_scored,1
assists,1
clean_sheets,6
goals_conceded,29
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,5
bps,345
influence,397.8
creativity,322.3
threat,276.0
ict_index,99.8
ea_index,0
element_type,2
team,20
