id,376
photo,41338.jpg
web_name,Cathcart
team_code,57
status,a
code,41338
first_name,Craig
second_name,Cathcart
squad_number,15
news,
now_cost,46
news_added,2019-01-19T17:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.7
value_season,17.6
cost_change_start,1
cost_change_event,0
cost_change_start_fall,-1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,2.3
form,3.0
transfers_out,106392
transfers_in,226401
transfers_out_event,1225
transfers_in_event,126
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,81
event_points,0
points_per_game,3.0
ep_this,3.0
ep_next,2.0
special,False
minutes,2421
goals_scored,3
assists,0
clean_sheets,6
goals_conceded,40
own_goals,2
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,5
bps,435
influence,593.8
creativity,22.0
threat,241.0
ict_index,85.9
ea_index,0
element_type,2
team,18
