id,434
photo,166324.jpg
web_name,Cavaleiro
team_code,39
status,a
code,166324
first_name,Ivan
second_name,Cavaleiro
squad_number,7
news,
now_cost,52
news_added,2018-07-30T18:31:10Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,8.5
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.1
form,0.8
transfers_out,20978
transfers_in,16847
transfers_out_event,19
transfers_in_event,9
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,44
event_points,1
points_per_game,2.3
ep_this,1.3
ep_next,0.3
special,False
minutes,587
goals_scored,3
assists,1
clean_sheets,1
goals_conceded,9
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,3
bps,149
influence,193.6
creativity,300.4
threat,148.0
ict_index,63.5
ea_index,0
element_type,3
team,20
