id,219
photo,172850.jpg
web_name,Chilwell
team_code,13
status,a
code,172850
first_name,Benjamin
second_name,Chilwell
squad_number,3
news,
now_cost,50
news_added,2019-02-21T15:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,16.6
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,2.4
form,1.0
transfers_out,254459
transfers_in,355733
transfers_out_event,324
transfers_in_event,1028
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,83
event_points,0
points_per_game,3.2
ep_this,1.0
ep_next,1.5
special,False
minutes,2340
goals_scored,0
assists,3
clean_sheets,7
goals_conceded,34
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,8
bps,405
influence,495.0
creativity,449.3
threat,220.0
ict_index,116.9
ea_index,0
element_type,2
team,11
