id,230
photo,197469.jpg
web_name,Choudhury
team_code,13
status,a
code,197469
first_name,Hamza
second_name,Choudhury
squad_number,38
news,
now_cost,43
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.0
value_season,2.6
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.0
transfers_out,12000
transfers_in,12887
transfers_out_event,20
transfers_in_event,10
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,11
event_points,0
points_per_game,2.2
ep_this,0.0
ep_next,0.5
special,False
minutes,332
goals_scored,0
assists,0
clean_sheets,2
goals_conceded,3
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,41
influence,67.2
creativity,30.5
threat,41.0
ict_index,14.0
ea_index,0
element_type,3
team,11
