id,119
photo,135363.jpg
web_name,Christensen
team_code,8
status,a
code,135363
first_name,Andreas
second_name,Christensen
squad_number,27
news,
now_cost,50
news_added,2018-12-20T12:31:15Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,1.2
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.4
form,1.5
transfers_out,52285
transfers_in,4593
transfers_out_event,20
transfers_in_event,10
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,6
event_points,0
points_per_game,3.0
ep_this,2.5
ep_next,2.0
special,False
minutes,180
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,2
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,42
influence,42.0
creativity,3.3
threat,0.0
ict_index,4.5
ea_index,0
element_type,2
team,6
