id,460
photo,87107.jpg
web_name,Christie
team_code,54
status,a
code,87107
first_name,Cyrus
second_name,Christie
squad_number,22
news,
now_cost,42
news_added,2019-02-02T17:01:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,6.4
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.6
transfers_out,15027
transfers_in,7117
transfers_out_event,13
transfers_in_event,3
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,27
event_points,0
points_per_game,1.4
ep_this,-0.4
ep_next,0.1
special,False
minutes,1493
goals_scored,0
assists,0
clean_sheets,2
goals_conceded,31
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,0
bps,193
influence,302.2
creativity,255.0
threat,84.0
ict_index,64.1
ea_index,0
element_type,2
team,9
