id,311
photo,58845.jpg
web_name,Clark
team_code,4
status,i
code,58845
first_name,Ciaran
second_name,Clark
squad_number,2
news,Knock - Unknown return date
now_cost,45
news_added,2019-02-22T14:01:20Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,9.3
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.2
form,0.0
transfers_out,28606
transfers_in,21234
transfers_out_event,29
transfers_in_event,1
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,42
event_points,0
points_per_game,3.8
ep_this,0.0
ep_next,0.0
special,False
minutes,857
goals_scored,3
assists,0
clean_sheets,2
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,4
bps,194
influence,293.2
creativity,25.0
threat,105.0
ict_index,42.6
ea_index,0
element_type,2
team,15
