id,388
photo,43250.jpg
web_name,Cleverley
team_code,57
status,a
code,43250
first_name,Tom
second_name,Cleverley
squad_number,8
news,
now_cost,50
news_added,2018-07-05T14:31:07Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,4.4
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,1.2
transfers_out,2188
transfers_in,3458
transfers_out_event,18
transfers_in_event,8
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,22
event_points,0
points_per_game,2.2
ep_this,1.2
ep_next,0.2
special,False
minutes,356
goals_scored,1
assists,0
clean_sheets,3
goals_conceded,3
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,2
bps,78
influence,90.8
creativity,30.6
threat,38.0
ict_index,16.0
ea_index,0
element_type,3
team,18
