id,430
photo,94147.jpg
web_name,Coady
team_code,39
status,a
code,94147
first_name,Conor
second_name,Coady
squad_number,16
news,
now_cost,45
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.6
value_season,16.0
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.7
form,2.6
transfers_out,43541
transfers_in,46081
transfers_out_event,92
transfers_in_event,135
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,72
event_points,6
points_per_game,2.5
ep_this,3.1
ep_next,2.1
special,False
minutes,2610
goals_scored,0
assists,0
clean_sheets,7
goals_conceded,35
own_goals,2
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,5
bps,458
influence,446.6
creativity,23.0
threat,0.0
ict_index,46.8
ea_index,0
element_type,2
team,20
