id,157
photo,59949.jpg
web_name,Coleman
team_code,11
status,a
code,59949
first_name,Seamus
second_name,Coleman
squad_number,23
news,
now_cost,52
news_added,2018-09-10T17:01:14Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.5
value_season,12.7
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,1.1
form,2.4
transfers_out,219462
transfers_in,116773
transfers_out_event,97
transfers_in_event,42
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,66
event_points,0
points_per_game,3.1
ep_this,0.0
ep_next,0.0
special,False
minutes,1838
goals_scored,1
assists,1
clean_sheets,6
goals_conceded,28
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,5
bps,339
influence,347.4
creativity,256.0
threat,139.0
ict_index,74.1
ea_index,0
element_type,2
team,8
