id,39
photo,155408.jpg
web_name,Lewis Cook
team_code,91
status,i
code,155408
first_name,Lewis
second_name,Cook
squad_number,16
news,Anterior cruciate ligament  - Expected back 04 Jun
now_cost,47
news_added,2018-12-06T14:31:16Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,4.7
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.0
transfers_out,19988
transfers_in,6979
transfers_out_event,5
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,22
event_points,0
points_per_game,1.7
ep_this,0.0
ep_next,0.0
special,False
minutes,719
goals_scored,0
assists,0
clean_sheets,3
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,91
influence,76.0
creativity,50.4
threat,36.0
ict_index,16.5
ea_index,0
element_type,3
team,2
