id,27
photo,56917.jpg
web_name,Steve Cook
team_code,91
status,i
code,56917
first_name,Steve
second_name,Cook
squad_number,3
news,Groin Injury - Unknown return date
now_cost,44
news_added,2019-02-23T20:01:19Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.1
value_season,15.9
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,5.2
form,0.4
transfers_out,637056
transfers_in,764676
transfers_out_event,3094
transfers_in_event,6
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,70
event_points,0
points_per_game,2.7
ep_this,0.0
ep_next,0.0
special,False
minutes,2340
goals_scored,1
assists,1
clean_sheets,7
goals_conceded,47
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,5
bps,453
influence,627.0
creativity,109.2
threat,279.0
ict_index,101.4
ea_index,0
element_type,2
team,2
