id,402
photo,55459.jpg
web_name,Cresswell
team_code,21
status,d
code,55459
first_name,Aaron
second_name,Cresswell
squad_number,3
news,Toe Injury - 75% chance of playing
now_cost,50
news_added,2019-02-27T22:01:22Z
chance_of_playing_this_round,25
chance_of_playing_next_round,75
value_form,0.3
value_season,5.4
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.5
form,1.4
transfers_out,87343
transfers_in,11403
transfers_out_event,111
transfers_in_event,8
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,27
event_points,1
points_per_game,1.7
ep_this,0.3
ep_next,1.4
special,False
minutes,1228
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,17
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,188
influence,236.0
creativity,217.2
threat,57.0
ict_index,51.1
ea_index,0
element_type,2
team,19
