id,590
photo,3773.jpg
web_name,Crouch
team_code,90
status,a
code,3773
first_name,Peter
second_name,Crouch
squad_number,15
news,
now_cost,45
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.2
value_season,1.1
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.3
form,1.0
transfers_out,34817
transfers_in,113712
transfers_out_event,943
transfers_in_event,964
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,5
event_points,1
points_per_game,1.7
ep_this,1.5
ep_next,0.0
special,False
minutes,42
goals_scored,0
assists,1
clean_sheets,0
goals_conceded,0
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,15
influence,3.4
creativity,0.6
threat,63.0
ict_index,6.6
ea_index,0
element_type,4
team,4
