id,467
photo,80792.jpg
web_name,Cunningham
team_code,97
status,a
code,80792
first_name,Greg
second_name,Cunninghamm
squad_number,18
news,
now_cost,42
news_added,2018-12-22T16:31:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,2.1
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.0
transfers_out,4622
transfers_in,1534
transfers_out_event,2
transfers_in_event,1
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,9
event_points,0
points_per_game,1.3
ep_this,-0.5
ep_next,-0.5
special,False
minutes,630
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,17
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,0
bps,72
influence,106.4
creativity,69.7
threat,19.0
ict_index,19.6
ea_index,0
element_type,2
team,5
