id,104
photo,54527.jpg
web_name,Damour
team_code,97
status,a
code,54527
first_name,Loïc
second_name,Damour
squad_number,20
news,
now_cost,43
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.0
value_season,0.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.0
transfers_out,5446
transfers_in,4495
transfers_out_event,4
transfers_in_event,28
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,2
event_points,0
points_per_game,1.0
ep_this,-0.5
ep_next,-0.5
special,False
minutes,21
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,2
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,6
influence,0.6
creativity,1.0
threat,8.0
ict_index,0.9
ea_index,0
element_type,3
team,5
