id,28
photo,41320.jpg
web_name,Daniels
team_code,91
status,a
code,41320
first_name,Charlie
second_name,Daniels
squad_number,11
news,
now_cost,41
news_added,2018-10-27T14:01:13Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,8.8
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,3.7
form,0.2
transfers_out,757086
transfers_in,109232
transfers_out_event,249
transfers_in_event,713
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,36
event_points,2
points_per_game,2.0
ep_this,-0.8
ep_next,0.7
special,False
minutes,1348
goals_scored,1
assists,0
clean_sheets,3
goals_conceded,31
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,0
bps,231
influence,253.0
creativity,191.4
threat,146.0
ict_index,59.1
ea_index,0
element_type,2
team,2
