id,139
photo,19188.jpg
web_name,Dann
team_code,31
status,a
code,19188
first_name,Scott
second_name,Dann
squad_number,6
news,
now_cost,44
news_added,2018-07-05T14:31:07Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,0.9
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.6
transfers_out,1205
transfers_in,1026
transfers_out_event,0
transfers_in_event,6
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,4
event_points,2
points_per_game,1.3
ep_this,0.1
ep_next,0.6
special,False
minutes,104
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,1
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,17
influence,29.6
creativity,0.1
threat,2.0
ict_index,3.2
ea_index,0
element_type,2
team,7
