id,356
photo,115556.jpg
web_name,Davies
team_code,6
status,a
code,115556
first_name,Ben
second_name,Davies
squad_number,33
news,
now_cost,56
news_added,2019-01-24T22:01:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,7.9
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.6
form,0.2
transfers_out,439459
transfers_in,89470
transfers_out_event,48
transfers_in_event,12
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,44
event_points,0
points_per_game,2.4
ep_this,0.7
ep_next,1.7
special,False
minutes,1355
goals_scored,0
assists,0
clean_sheets,4
goals_conceded,20
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,4
bps,250
influence,284.6
creativity,218.4
threat,93.0
ict_index,59.8
ea_index,0
element_type,2
team,17
