id,169
photo,173807.jpg
web_name,Davies
team_code,11
status,a
code,173807
first_name,Tom
second_name,Davies
squad_number,26
news,
now_cost,51
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.2
value_season,4.5
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,1.0
transfers_out,12396
transfers_in,4714
transfers_out_event,12
transfers_in_event,11
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,23
event_points,0
points_per_game,1.8
ep_this,0.0
ep_next,1.0
special,False
minutes,965
goals_scored,0
assists,0
clean_sheets,2
goals_conceded,19
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,0
bps,122
influence,122.2
creativity,95.3
threat,85.0
ict_index,30.3
ea_index,0
element_type,3
team,8
