id,337
photo,17339.jpg
web_name,Davis
team_code,20
status,u
code,17339
first_name,Steven
second_name,Davis
squad_number,8
news,Season-long loan to Rangers
now_cost,46
news_added,2019-01-07T10:31:16Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,2.0
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.0
transfers_out,8241
transfers_in,2099
transfers_out_event,2
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,9
event_points,0
points_per_game,3.0
ep_this,0.0
ep_next,0.0
special,False
minutes,97
goals_scored,0
assists,1
clean_sheets,0
goals_conceded,4
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,2
bps,39
influence,38.8
creativity,41.6
threat,2.0
ict_index,8.2
ea_index,0
element_type,3
team,16
