id,273
photo,61366.jpg
web_name,De Bruyne
team_code,43
status,d
code,61366
first_name,Kevin
second_name,De Bruyne
squad_number,17
news,Knock - 75% chance of playing
now_cost,97
news_added,2019-03-02T17:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,75
value_form,0.2
value_season,3.3
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,4.0
form,2.0
transfers_out,1501800
transfers_in,365972
transfers_out_event,3624
transfers_in_event,223
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,32
event_points,1
points_per_game,2.3
ep_this,3.0
ep_next,2.3
special,False
minutes,665
goals_scored,1
assists,1
clean_sheets,4
goals_conceded,2
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,2
bps,159
influence,166.2
creativity,351.7
threat,190.0
ict_index,70.8
ea_index,0
element_type,3
team,13
