id,282
photo,51940.jpg
web_name,De Gea
team_code,1
status,a
code,51940
first_name,David
second_name,De Gea
squad_number,1
news,
now_cost,57
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.9
value_season,18.1
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,16.9
form,5.2
transfers_out,1056536
transfers_in,342357
transfers_out_event,2811
transfers_in_event,617
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,103
event_points,1
points_per_game,3.6
ep_this,6.2
ep_next,5.2
special,False
minutes,2610
goals_scored,0
assists,0
clean_sheets,7
goals_conceded,38
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,98
bonus,7
bps,520
influence,675.4
creativity,0.0
threat,0.0
ict_index,67.5
ea_index,0
element_type,1
team,14
