id,396
photo,41725.jpg
web_name,Deeney
team_code,57
status,a
code,41725
first_name,Troy
second_name,Deeney
squad_number,9
news,
now_cost,59
news_added,2018-10-20T16:31:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.7
value_season,15.3
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,3
selected_by_percent,4.6
form,4.0
transfers_out,711649
transfers_in,856471
transfers_out_event,1602
transfers_in_event,649
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,90
event_points,0
points_per_game,3.6
ep_this,4.0
ep_next,3.0
special,False
minutes,2066
goals_scored,7
assists,3
clean_sheets,5
goals_conceded,32
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,9
bps,321
influence,471.6
creativity,420.4
threat,782.0
ict_index,167.1
ea_index,0
element_type,4
team,18
