id,77
photo,39847.jpg
web_name,Defour
team_code,90
status,i
code,39847
first_name,Steven
second_name,Defour
squad_number,16
news,Calf injury - Unknown return date
now_cost,53
news_added,2019-01-31T16:01:19Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,1.9
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.0
transfers_out,1751
transfers_in,1043
transfers_out_event,3
transfers_in_event,3
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,10
event_points,0
points_per_game,1.7
ep_this,0.0
ep_next,0.0
special,False
minutes,449
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,14
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,70
influence,61.4
creativity,36.6
threat,0.0
ict_index,9.9
ea_index,0
element_type,3
team,4
